Age,male.mx,male.qx,male.lx,male.dx,male.ex,female.mx,female.qx,female.lx,female.dx,female.ex
0,0.004669,0.004658,100000,465.8,79.15,0.00363,0.003623,100000,362.3,82.92
1,0.000341,0.000341,99534.2,34,78.52,0.000289,0.000289,99637.7,28.8,82.22
2,0.00019,0.00019,99500.2,18.9,77.55,0.000138,0.000138,99608.9,13.8,81.24
3,0.000111,0.000111,99481.3,11.1,76.56,0.000117,0.000117,99595.1,11.6,80.25
4,0.000105,0.000105,99470.2,10.5,75.57,0.000094,0.000094,99583.5,9.3,79.26
5,0.000107,0.000107,99459.8,10.6,74.58,0.000088,0.000088,99574.2,8.8,78.27
6,0.000085,0.000085,99449.2,8.4,73.59,0.000085,0.000085,99565.4,8.4,77.28
7,0.000091,0.000091,99440.7,9.1,72.59,0.000063,0.000063,99556.9,6.3,76.28
8,0.000091,0.000091,99431.7,9,71.6,0.000064,0.000064,99550.7,6.4,75.29
9,0.000087,0.000087,99422.6,8.6,70.61,0.000064,0.000064,99544.3,6.4,74.29
10,0.000088,0.000088,99414,8.8,69.61,0.000071,0.000071,99537.9,7.1,73.3
11,0.000082,0.000082,99405.3,8.1,68.62,0.000073,0.000073,99530.8,7.2,72.3
12,0.000106,0.000106,99397.1,10.6,67.63,0.000085,0.000085,99523.6,8.4,71.31
13,0.000103,0.000103,99386.6,10.2,66.63,0.000082,0.000082,99515.1,8.1,70.31
14,0.000126,0.000126,99376.3,12.5,65.64,0.000101,0.000101,99507,10.1,69.32
15,0.000154,0.000154,99363.8,15.3,64.65,0.000107,0.000107,99496.9,10.7,68.33
16,0.000209,0.000209,99348.5,20.7,63.66,0.000119,0.000119,99486.3,11.9,67.33
17,0.000307,0.000307,99327.8,30.5,62.67,0.000151,0.000151,99474.4,15,66.34
18,0.000423,0.000422,99297.3,41.9,61.69,0.000171,0.000171,99459.4,17,65.35
19,0.000438,0.000438,99255.3,43.5,60.72,0.000186,0.000186,99442.4,18.5,64.36
