"","mu.mean.5.","mu.mean.1.","mu.mean.6.","mu.mean.7.","mu.mean.17.","mu.mean.15.","mu.mean.16."
"1",-5.0868,-4.49279,-3.1633,-4.657,-2.6384,-4.5771,-4.9693
"2",-4.9968,-4.5356,-3.4253,-5.128,-2.7465,-4.8751,-5.2273
"3",-5.0008,-4.664,-3.5422,-5.522,-3.0135,-4.4165,-5.439
"4",-5.0678,-4.50256,-3.4882,-5.36,-2.9505,-5.5958,-5.69
"5",-5.0428,-4.50056,-3.4002,-4.3522,-3.2395,-4.8148,-5.874
"6",-4.8978,-4.45132,-3.3392,-4.77,-2.86,-4.0268,-5.668
"7",-5.0338,-4.45132,-3.5102,-3.5382,-3.166,-3.8678,-5.5517
"8",-5.0438,-4.44765,-3.4262,-6.091,-3.381,-4.0298,-5.722
"9",-5.0728,-4.44765,-3.3272,-6.398,-3.233,-4.6818,-5.814
"10",-5.0608,-4.44865,-3.3152,-5.832,-3.404,-4.5728,-5.865
"11",-5.1048,-4.49546,-3.3422,-6.201,-3.066,-5.1408,-5.688
"12",-5.0518,-4.5413,-3.3882,-7.134,-3.327,-5.0768,-5.656
"13",-5.1088,-4.5453,-3.4762,-4.6072,-3.184,-4.6748,-5.6288
"14",-5.1058,-4.5462,-3.7181,-3.7202,-3.277,-4.9362,-5.4806
"15",-5.0958,-4.5412,-3.3071,-5.204,-3.362,-4.0692,-5.5722
"16",-4.99964,-4.5452,-3.0614,-2.38,-2.714,-4.6662,-5.0467
"17",-5.0128,-4.5345,-3.7174,-2.093,-2.742,-4.7012,-4.9947
"18",-5.0048,-4.5355,-3.6094,-2.172,-2.4,-4.6917,-5.4057
"19",-5.0043,-4.5335,-3.2804,-6.126,-2.944,-4.1277,-5.6817
"20",-4.9933,-4.5375,-3.4374,-5.586,-3.5728,-4.5544,-5.5697
"21",-4.6692,-4.5325,-3.4074,-7.372,-3.3678,-3.9504,-5.6152
"22",-4.98351,-4.584,-3.3634,-6.214,-2.6668,-3.9924,-5.4301
"23",-4.98251,-4.586,-3.4174,-6.628,-2.7108,-4.7534,-5.6871
"24",-4.8299,-4.5588,-3.4331,-7.075,-2.9058,-4.1836,-5.0898
"25",-4.8219,-4.5598,-3.4451,-6.333,-3.0758,-4.2014,-5.1145
"26",-4.8089,-4.5588,-3.3951,-5.435,-2.7178,-4.7474,-4.9648
"27",-4.8109,-4.5608,-3.4691,-5.0936,-3.5188,-4.9435,-5.1678
"28",-4.8389,-4.6062,-3.31669,-5.0866,-2.9798,-4.5315,-5.6208
"29",-4.7259,-4.6052,-3.1364,-5.0186,-2.8673,-4.2165,-5.2268
"30",-4.8339,-4.6062,-3.2194,-5.5236,-3.1393,-4.6015,-5.4278
"31",-4.7479,-4.5753,-3.7184,-5.5136,-3.8423,-4.3085,-5.6656
"32",-4.8669,-4.5773,-3.13526,-4.5646,-3.6925,-4.6285,-5.5867
"33",-5.1455,-4.6116,-3.31826,-3.65866,-3.3305,-3.5975,-5.6537
"34",-5.0855,-4.50072,-3.09126,-4.6978,-3.7855,-4.2224,-5.4077
"35",-4.8086,-4.50372,-3.5808,-4.8968,-3.2045,-4.5874,-5.5537
"36",-5.04112,-4.5315,-3.4008,-4.3438,-3.3521,-4.7754,-5.8114
"37",-4.93412,-4.5335,-3.4488,-3.7338,-3.5185,-4.3631,-5.3266
"38",-5.0182,-4.5821,-3.33095,-4.7495,-3.2665,-5.6461,-5.6236
"39",-4.9562,-4.5851,-3.43093,-5.114,-3.4471,-4.1547,-5.4317
"40",-4.9392,-4.5871,-3.75193,-5.174,-3.1449,-4.0877,-5.9227
"41",-4.9772,-4.5861,-3.34293,-4.2348,-2.5524,-4.7507,-5.3577
"42",-4.9702,-4.6798,-3.61593,-1.5549,-2.5044,-4.1737,-5.5977
"43",-4.8992,-4.6798,-3.47961,-4.6513,-2.5236,-4.3707,-5.3197
"44",-4.9364,-4.6585,-3.715,-4.4073,-3.9816,-4.7457,-5.5972
"45",-5.0584,-4.6595,-3.572,-5.2293,-2.8106,-4.4597,-5.4652
"46",-5.0806,-4.6595,-3.5907,-4.8003,-2.8906,-3.8497,-5.5382
"47",-5.0086,-4.6595,-3.41335,-5.0953,-2.9129,-4.5867,-5.4722
"48",-5.2306,-4.6615,-3.4822,-4.5273,-2.9509,-4.0137,-5.2922
"49",-5.2926,-4.6585,-3.2322,-3.8343,-3.5949,-3.9617,-6.2782
"50",-5.1336,-4.6615,-3.4419,-4.6603,-2.7419,-4.9417,-5.7293
"51",-5.1746,-4.6595,-3.4389,-4.8191,-2.3979,-3.8387,-5.6556
"52",-5.0626,-4.6615,-3.2959,-3.9421,-2.8199,-4.3237,-5.0172
"53",-4.86857,-4.6845,-3.5579,-3.1141,-2.9829,-3.9237,-5.4122
"54",-4.95357,-4.50414,-3.4489,-3.7821,-3.9889,-4.6527,-5.1712
"55",-4.90557,-4.50014,-3.3239,-4.456,-3.6369,-4.1387,-5.3833
"56",-5.1063,-4.48151,-3.3929,-4.518,-2.9219,-4.5347,-4.9143
"57",-5.1793,-4.4018,-3.4319,-6.085,-3.1869,-4.6507,-4.9653
"58",-5.1653,-4.3135,-3.23113,-5.297,-2.2449,-4.6377,-5.2963
"59",-5.1523,-4.37805,-3.39913,-5.451,-3.1587,-5.8477,-4.7643
"60",-5.1483,-4.37705,-3.23013,-6.736,-2.0477,-4.8177,-5.1623
"61",-5.1403,-4.43078,-3.39113,-6.476,-2.4937,-4.3887,-5.4403
"62",-5.2313,-4.3712,-3.16213,-4.859,-3.2757,-4.8478,-5.3113
"63",-5.2733,-4.3692,-3.05913,-4.354,-2.5587,-5.1871,-5.1101
"64",-5.2133,-4.3722,-3.36813,-6.162,-3.0857,-5.4151,-5.1981
"65",-5.1293,-4.3732,-2.97813,-4.2369,-2.8767,-5.0961,-5.5151
"66",-5.1753,-4.3702,-3.1873,-4.1689,-2.7087,-5.0941,-5.4794
"67",-5.0213,-4.3672,-3.3883,-3.7479,-3.1037,-5.5268,-5.5214
"68",-5.1093,-4.5615,-3.3337,-3.8189,-2.6377,-4.8538,-5.8468
"69",-4.8001,-4.45259,-3.3937,-4.5859,-2.1562,-4.6648,-5.9248
"70",-4.9771,-4.44659,-3.3717,-4.9739,-3.3202,-5.2298,-5.7388
"71",-4.9821,-4.5529,-3.2717,-1.791,-3.3722,-5.7258,-5.7352
"72",-4.9991,-4.5559,-3.3309,-2.736,-3.6939,-5.0478,-5.7852
"73",-5.0009,-4.5589,-3.6152,-1.786,-3.7039,-5.0398,-5.5402
"74",-4.8485,-4.46147,-3.3832,-2.351,-3.8829,-4.6598,-5.7392
"75",-4.8165,-4.44748,-3.5912,-4.68127,-2.9419,-4.9268,-5.7472
"76",-4.8895,-4.40277,-3.4702,-3.06427,-3.6465,-4.8808,-5.1722
"77",-5.1435,-4.39977,-3.5192,-5.31027,-3.4681,-4.3728,-5.3662
"78",-5.1425,-4.5222,-3.6142,-4.1884,-2.6431,-4.0428,-5.5583
"79",-5.2785,-4.5232,-3.53267,-5.5824,-2.5301,-4.6958,-5.7285
"80",-5.2463,-4.6732,-3.28771,-7.428,-3.2344,-5.2343,-5.4969
"81",-5.4083,-4.6781,-2.97771,-4.5824,-2.8414,-4.2433,-5.5154
