"","mu.mean[5]","mu.mean[1]","mu.mean[6]","mu.mean[7]","mu.mean[17]","mu.mean[15]","mu.mean[16]"
"1",-4.859,-4.403,-3.053,-3.168,-2.538,-4.111,-4.105
"2",-4.769,-4.402,-3.315,-3.639,-2.549,-4.409,-4.363
"3",-4.773,-4.404,-3.365,-4.033,-2.816,-3.918,-4.332
"4",-4.84,-4.406,-3.311,-3.871,-2.753,-5.045,-4.618
"5",-4.815,-4.404,-3.223,-4.165,-3.042,-4.264,-4.802
"6",-4.67,-4.406,-3.162,-3.755,-2.692,-3.476,-4.569
"7",-4.806,-4.406,-3.333,-3.98,-2.998,-3.317,-4.618
"8",-4.816,-4.403,-3.249,-5.084,-3.213,-3.479,-4.636
"9",-4.845,-4.403,-3.15,-5.391,-3.065,-4.131,-4.728
"10",-4.833,-4.404,-3.138,-4.825,-3.236,-4.022,-4.779
"11",-4.877,-4.405,-3.165,-4.209,-2.898,-4.59,-4.602
"12",-4.824,-4.404,-3.211,-5.142,-3.159,-4.526,-4.57
"13",-4.881,-4.408,-3.299,-3.987,-3.016,-4.124,-4.689
"14",-4.878,-4.409,-3.581,-3.1,-3.109,-4.381,-4.789
"15",-4.868,-4.404,-3.17,-4.39,-3.194,-3.514,-4.828
"16",-4.909,-4.408,-2.922,-3.564,-2.593,-4.111,-4.282
"17",-4.9,-4.404,-3.578,-3.277,-2.621,-4.146,-4.23
"18",-4.892,-4.405,-3.47,-3.838,-2.279,-4.103,-4.641
"19",-4.927,-4.403,-3.141,-4.525,-2.823,-3.539,-4.917
"20",-4.916,-4.407,-3.298,-3.985,-3.347,-3.941,-4.733
"21",-4.88,-4.402,-3.268,-4.82,-3.142,-3.337,-4.91
"22",-4.899,-4.404,-3.224,-3.785,-2.441,-3.379,-4.727
"23",-4.898,-4.406,-3.278,-3.779,-2.485,-4.14,-4.984
"24",-4.935,-4.407,-3.28,-3.937,-2.68,-3.656,-4.413
"25",-4.927,-4.408,-3.292,-3.195,-2.85,-3.571,-4.484
"26",-4.914,-4.407,-3.242,-4.149,-2.492,-4.117,-4.501
"27",-4.916,-4.409,-3.316,-4.181,-3.293,-4.521,-4.704
"28",-4.944,-4.409,-3.281,-4.174,-2.754,-4.109,-5.157
"29",-4.831,-4.408,-2.998,-4.106,-2.638,-3.794,-4.763
"30",-4.939,-4.409,-3.081,-4.611,-2.91,-4.179,-4.964
"31",-4.853,-4.411,-3.58,-4.601,-3.613,-3.886,-4.847
"32",-4.972,-4.413,-3.076,-3.652,-3.589,-4.206,-4.839
"33",-4.956,-4.41,-3.259,-3.753,-3.227,-3.175,-4.906
"34",-4.939,-4.407,-3.032,-4.505,-3.682,-3.909,-4.66
"35",-4.931,-4.41,-3.514,-4.704,-3.101,-4.274,-4.806
"36",-4.958,-4.409,-3.334,-4.151,-3.048,-4.462,-5.139
"37",-4.851,-4.411,-3.382,-3.541,-3.245,-3.924,-4.613
"38",-4.89,-4.41,-3.316,-4.016,-2.993,-5.207,-4.91
"39",-4.828,-4.413,-3.377,-4.004,-3.183,-3.661,-4.806
