"","MI","Ischemic stroke","Death (all causes)","Transient ischemic attack (TIA)","Clinically relevant bleeding","SE","ICH"
"1",1,2.074,1.506,1.953,0.4156,2.44,0.4156
"2",1,2.105,1.574,0.638,0.5183,2.381,0.5183
"3",1,2.067,1.543,0.7549,0.3177,2.251,0.3177
"4",1,2.185,1.363,1.943,0.5288,1.679,0.5288
"5",1,2.044,1.226,1.759,0.4475,2.345,0.4475
"6",1,1.895,1.173,0.3152,0.3887,0.9896,0.3887
"7",1,2.312,1.447,1.306,0.3437,3.632,0.3437
"8",1,2.215,1.251,0.4846,0.347,4.667,0.347
"9",1,2.221,1.057,0.9329,0.6692,3.768,0.6692
"10",1,2.38,1.055,1.109,0.4121,1.545,0.4121
"11",1,2.39,1.238,5.853,0.5511,1.882,0.5511
"12",1,2.138,1.225,1.372,0.5168,7.122,0.5168
"13",1,2.075,1.078,0.566,0.4148,1.654,0.4148
"14",1,2.059,1.263,0.3959,0.5081,2.54,0.5081
"15",1,1.973,1.098,0.6689,0.5055,1.911,0.5055
"16",1,2.083,1.244,0.477,0.5941,2.041,0.5941
"17",1,1.912,1.384,0.3541,0.2396,2.821,0.2396
"18",1,2.343,1.331,0.7464,0.9856,2.043,0.9856
"19",1,2.052,2.461,0.9874,0.6164,1.885,0.6164
"20",1,2.127,2.418,0.7178,0.4746,7.904,0.4746
"21",1,2.281,1.659,0.2405,0.5119,3.701,0.5119
"22",1,2.433,1.373,0.553,0.6226,18.45,0.6226
"23",1,2.025,1.769,0.6614,0.5097,0.03008,0.5097
"24",1,2.693,1.048,1.681,0.4839,1.478,0.4839
"25",1,2.288,1.693,0.6556,0.553,1.532,0.553
"26",1,2.739,2.136,0.7001,0.4527,0.5345,0.4527
"27",1,2.617,10.26,0.5861,0.5338,25.76,0.5338
"28",1,2.499,13.81,0.04095,0.6033,9.65,0.6033
"29",1,2.389,0.07741,1.401,0.4819,7.039,0.4819
"30",1,2.279,1.989,0.3389,0.415,9.182,0.415
"31",1,2.276,2.31,0.2286,0.3489,1.087,0.3489
"32",1,2.151,0.7113,4.082,0.3237,1.393,0.3237
"33",1,2.029,0.1391,0.8839,0.3538,1.679,0.3538
"34",1,2.32,0.6128,1.314,0.3328,0.7851,0.3328
"35",1,2.672,0.8155,1.593,0.3628,1.595,0.3628
"36",1,1.787,1.184,1.59,0.2565,2.893,0.2565
"37",1,2.893,1.148,3.26,0.4677,5.07,0.4677
"38",1,2.595,1.393,2.123,0.3779,3.532,0.3779
"39",1,2.301,0.4981,1.081,0.6122,2.201,0.6122
"40",1,2.456,0.5193,1.317,0.1633,1.751,0.1633
"41",1,2.229,3.353,1.552,0.3996,1.286,0.3996
"42",1,2.306,4.777,1.996,0.4313,1.487,0.4313
"43",1,2.132,2.993,1.643,0.5724,1.383,0.5724
"44",1,2.089,1.745,1.477,0.3929,0.949,0.3929
"45",1,2.53,1.898,0.8351,0.6966,10.67,0.6966
"46",1,2.392,2.36,3.316,0.5877,17,0.5877
"47",1,2.346,2.533,2.148,0.6934,0.9527,0.6934
"48",1,2.334,1.93,1.95,0.5154,1.689,0.5154
